Topics of Documents 0:,"(0, 5)","(3, 1)","(1, 1)","(6, 0)","(4, 0)","(8, 0)","(7, 0)","(5, 0)","(9, 0)","(2, 0)"
Topics of Documents 1:,"(0, 3)","(6, 2)","(4, 0)","(7, 0)","(5, 0)","(9, 0)","(3, 0)","(1, 0)","(2, 0)","(8, 0)"
Topics of Documents 2:,"(2, 4)","(8, 2)","(4, 0)","(1, 0)","(9, 0)","(5, 0)","(3, 0)","(7, 0)","(6, 0)","(0, 0)"
Topics of Documents 3:,"(7, 3)","(1, 2)","(4, 0)","(8, 0)","(9, 0)","(2, 0)","(3, 0)","(0, 0)","(6, 0)","(5, 0)"
Topics of Documents 4:,"(3, 4)","(1, 0)","(5, 0)","(7, 0)","(8, 0)","(9, 0)","(2, 0)","(0, 0)","(4, 0)","(6, 0)"
Topics of Documents 5:,"(1, 5)","(8, 1)","(5, 0)","(6, 0)","(9, 0)","(2, 0)","(3, 0)","(7, 0)","(0, 0)","(4, 0)"
Topics of Documents 6:,"(8, 2)","(7, 2)","(3, 0)","(9, 0)","(0, 0)","(5, 0)","(1, 0)","(2, 0)","(4, 0)","(6, 0)"
Topics of Documents 7:,"(3, 3)","(8, 1)","(4, 0)","(0, 0)","(1, 0)","(2, 0)","(6, 0)","(7, 0)","(9, 0)","(5, 0)"
Topics of Documents 8:,"(9, 3)","(7, 1)","(0, 0)","(1, 0)","(6, 0)","(3, 0)","(8, 0)","(4, 0)","(2, 0)","(5, 0)"
Topics of Documents 9:,"(1, 3)","(9, 1)","(7, 0)","(5, 0)","(3, 0)","(4, 0)","(6, 0)","(2, 0)","(8, 0)","(0, 0)"
Topics of Documents 10:,"(2, 2)","(7, 1)","(5, 0)","(1, 0)","(3, 0)","(9, 0)","(0, 0)","(8, 0)","(6, 0)","(4, 0)"
Topics of Documents 11:,"(9, 3)","(1, 1)","(3, 0)","(2, 0)","(7, 0)","(8, 0)","(0, 0)","(6, 0)","(4, 0)","(5, 0)"
Topics of Documents 12:,"(2, 3)","(8, 0)","(7, 0)","(1, 0)","(6, 0)","(9, 0)","(3, 0)","(0, 0)","(4, 0)","(5, 0)"
Topics of Documents 13:,"(6, 4)","(0, 1)","(1, 0)","(5, 0)","(8, 0)","(7, 0)","(9, 0)","(2, 0)","(3, 0)","(4, 0)"
Topics of Documents 14:,"(3, 2)","(8, 1)","(4, 0)","(9, 0)","(0, 0)","(7, 0)","(2, 0)","(5, 0)","(6, 0)","(1, 0)"
