Topics of Documents 0:,"(2, 4)","(3, 2)","(0, 1)","(4, 0)","(1, 0)"
Topics of Documents 1:,"(2, 5)","(3, 0)","(4, 0)","(1, 0)","(0, 0)"
Topics of Documents 2:,"(0, 4)","(2, 2)","(4, 0)","(1, 0)","(3, 0)"
Topics of Documents 3:,"(1, 3)","(0, 2)","(2, 0)","(4, 0)","(3, 0)"
Topics of Documents 4:,"(4, 4)","(0, 0)","(2, 0)","(3, 0)","(1, 0)"
Topics of Documents 5:,"(0, 6)","(4, 0)","(2, 0)","(3, 0)","(1, 0)"
Topics of Documents 6:,"(1, 4)","(4, 0)","(3, 0)","(0, 0)","(2, 0)"
Topics of Documents 7:,"(4, 2)","(3, 2)","(2, 0)","(0, 0)","(1, 0)"
Topics of Documents 8:,"(3, 2)","(4, 2)","(0, 0)","(1, 0)","(2, 0)"
Topics of Documents 9:,"(2, 3)","(3, 1)","(4, 0)","(1, 0)","(0, 0)"
Topics of Documents 10:,"(0, 2)","(1, 1)","(2, 0)","(4, 0)","(3, 0)"
Topics of Documents 11:,"(4, 3)","(0, 1)","(1, 0)","(3, 0)","(2, 0)"
Topics of Documents 12:,"(0, 3)","(4, 0)","(3, 0)","(1, 0)","(2, 0)"
Topics of Documents 13:,"(2, 3)","(3, 2)","(0, 0)","(4, 0)","(1, 0)"
Topics of Documents 14:,"(4, 3)","(2, 0)","(0, 0)","(3, 0)","(1, 0)"
